Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Message,Exact_Date
HAYAT GROUP,https://hayat.com,unknown,15/08/54673,NA,"Hayat Holding, whose foundations were laid in 1937, is a global player today with its 41 companies operating in different industries, including Hayat in the fast moving consumer goods sector, Kastamonu Entegre in the wood-based panel sector, and Limaş in the port management sector, with a workforce of over 17,000 people. We deliver 49 Turkish brands produced with advanced technologies in 36 production facilities in 12 countries to millions of consumers worldwide. As Hayat Holding, we carry out all our operations based on respect for people, society, and the environment. We take our global sustainability approach as a guide for our works, especially for those in the field of the continuity of our financial and operational successes, followed by reputation management, product quality and safety, environmentally friendly production, efficient resource use, recycling, diffusion of the innovation culture, occupational health and safety, fair competition and ethical values, equality of opportunity, local employment, and support for social projects. Our vision of globalization and our understanding of sustainable growth help us continue our investments at full speed to provide benefits for generations in Turkey and across the world.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/d0656d64-c2e0-45b2-a932-5394cd8f0229,BlackCat,NA,NA,"Since Hayat didn't even want to contact us, we decided to make Hayat's data available to the public!",15/08/54673 04:41:03
Artic Building Services,https://www.articbuildingservices.com/,unknown,31/05/54673,NA,ALL DATA AVAILABLE FOR DOWNLOADING!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/575c4172-1b6c-430d-bbf4-beab2320bf20,BlackCat,NA,NA,ENJOY!,31/05/54673 01:58:59
The Checker Transportation Group,https://www.thecheckergroup.com,unknown,23/05/54657,NA,"Freight & Logistics Services · Canada · 2,390 Employees",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/882a0add-364e-458d-8a59-c1207af29f07,BlackCat,NA,NA,"More then 2 TB of data were exfiltrated. Including: The payment databases, the credit card information, PII, DL, the recorded videos with passengers and accidents.",23/05/54657 14:04:32
Tri-Supply,https://www.trisupplyhome.com,unknown,18/05/54657,NA,Tri-Supply is a family owned and locally operated building supplier founded in 1958. ,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9f22aed9-8ec1-4b57-b1a2-637fe3f939e7,BlackCat,NA,NA,Accounting insurance personal data and much more....,18/05/54657 06:24:07
PCSupport ,https://www.pcsupport.co.nz/,unknown,08/10/54652,NA,"PC Support Christchurch is an onsite full-service computer support business. Operating in Canterbury since 2010, we are proudly 100% Kiwi owned and operated! Our highly trained, friendly technicians come to you. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/147d6e30-8ae8-46ab-af22-9d3a51c470e0,BlackCat,NA,NA,Clients and relative people's data has been leaked  Check the attachments ,08/10/54652 01:40:46
Fiveninefive ,https://www.fiveninefive.com,unknown,06/07/54652,NA,"Cast aluminum & magnesium products. Light metal components make projects lighter, more modern, safer, more robust, more sustainable",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/6fccc266-bda7-4e59-b0bd-1ec169303efe,BlackCat,NA,NA,">110bg of data in total  We're ready to publish emails, sensitive information about customers and clients, finances http://tslnzzg2kkczuo44rdoqkskzaopsqnhrm54bq5sfocxc2fvzll5roqyd.onion/search",06/07/54652 19:04:49
GHT CORP,https://ghtcorp.com/,unknown,11/05/54633,NA,"GHT was created to guarantee the future of the producing and commercializing companies whose objective is to supply the flowers demanded by the US and other markets in the quantity, quality, and with timeliness required. Having that objective, GHT supports the floriculture sector from the beginning to the end",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/e3d231f2-4019-4408-a116-325c6e93ff9a,BlackCat,NA,NA,We have >90gb of data Credit reports Emails Incident reports Client details Passports ,11/05/54633 11:29:54
 Josef Saller Services e.K. - Saller Bau,https://www.saller-bau.com/,unknown,18/02/54630,NA,Saller Bau GmbH is a company that operates in the Real Estate industry. ,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0a1bad38-1f1d-4d85-86a5-95638eab5443,BlackCat,NA,NA,The data are in the process of being uploaded to the servers.  Info for GDPR Data stolen: 01/08/2022,18/02/54630 21:21:48
Laferté,https://www.laferte.com/,unknown,10/02/54630,NA,"Founded in 1960, Laferté Renovation Center is one of the most important renovation centers in Quebec.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/629e7953-d901-4ece-ab5f-0ba92b845ddf,BlackCat,NA,NA,Waiting for files to be uploaded.  Info for GDPR Data stolen 19/07/2022,10/02/54630 07:25:56
Justman Packaging & Display Information,https://www.justmanpackaging.com/,unknown,06/02/54630,NA,"Justman Packaging & Display - designs and distributes packaging and point of purchase display solutions. The Company offers printed and foil embossed folding cartons, brown boxes, and display solutions. Justman Packaging & Display operates in the State of California.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/91491bf7-487d-43fc-a1a2-abb9c85399de,BlackCat,NA,NA,Data SOLD OUT.  11/04/2022.,06/02/54630 03:50:53
GSE - Gestore Servizi Energetici,NA,NA,12/03/54625,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/59e123b6-4324-48b7-ac4c-05360055b6bd,BlackCat,NA,NA,NA,12/03/54625 17:18:12
Accelya,https://w3.accelya.com/,unknown,01/07/54592,NA,"We deliver change in the air transport industry at speed and scale, combining a commitment to ongoing innovation with a solid track record.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/86255517-6e30-4ddf-b6ee-d0d0dd6a5a5d,BlackCat,NA,NA,Now all data available for download. Enjoy.    We got some stuff from this company such a sensitive information about  business  clients emails workers contracts,01/07/54592 19:15:32
Hometrust Mortgage Company,https://www.hometrust.com/,unknown,23/09/54591,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/1083653c-2155-4bc7-bd53-12c8ed7b0eab,BlackCat,NA,NA,ENJOY!!!,23/09/54591 03:54:55
AD Consulting Group,https://adcgroup.com,unknown,26/02/54562,NA,"Consulting, solutions and flexible services for digital transformation",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/cf8c9810-9f11-41ce-a4ad-0c08e6865712,BlackCat,NA,NA,You have two days before we public all data,26/02/54562 10:17:46
MarioSinacola,https://www.mariosinacola.com/,unknown,22/07/54555,NA,"Mario Sinacola & Sons, Excavating, Inc. is a dynamic, family-owned firm that has built a reputation for excellence, creative problem solving and superior performance. We have the state-of-the-art equipment, talented people, financial stability and skills to handle a wide variety of projects. With the ability to draw upon internal resources to self-perform most of our work we can provide turnkey solutions on jobs both big and small to maximize our client’s returns.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/78d3f03a-543e-4e51-b71c-9c5fc595ed27,BlackCat,NA,NA,We have 200gb of projects and sensitive data. You have 3 days to contact us. Then time end we will public all your data.,22/07/54555 23:57:41
Creos Luxembourg,https://www.creos-net.lu,unknown,06/10/54545,NA,"Creos Luxembourg S.A. owns and manages electricity networks and natural gas pipelines in the Grand Duchy of Luxembourg. In this capacity, the company plans, constructs and maintains high, medium and low-voltage electricity networks and high, medium and low-pressure natural gas pipelines, which it owns or which it is responsible for managing. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/3e446cc0-18a8-4ee5-9588-16ec55dff237,BlackCat,NA,NA,150gb+ 180kfiles We've compromised a sensitive data such as - contracts  - agreements - passports - bills - emails At Monday we gonna publish the data  we have ,06/10/54545 06:29:37
Nelsonslaw LLP,https://www.nelsonslaw.co.uk/,unknown,08/02/54544,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/222d25fc-ce40-4e82-84af-70155ae47c70,BlackCat,NA,NA,ENJOY!!!,08/02/54544 18:32:38
tnq.co.in,https://www.tnq.co.in,unknown,30/04/54542,NA,"more than 300 gigabytes, accounting, personal data of employees, data of partners and much more... AVAILABLE FOR DOWNLOAD!",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/8e691fa4-36df-4bb7-8e7e-eaa289905068,BlackCat,NA,NA,"more than 300 gigabytes, accounting, personal data of employees, data of partners and much more... AVAILABLE FOR DOWNLOAD!",30/04/54542 02:33:51
herc.com.br,https://herc.com.br/,unknown,26/04/54542,NA,"All bookkeeping, employee data and much more! AVAILABLE FOR DOWNLOAD! ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2f2fbdfe-14be-46b1-a6d2-b1d22dc39573,BlackCat,NA,NA,"All bookkeeping, employee data and much more! AVAILABLE FOR DOWNLOAD! ",26/04/54542 13:13:48
JOHN A. BODZIAK ARCHITECT AIA,https://johnabodziakarchitect.com/,unknown,24/08/54535,NA,"John A. Bodziak Architect AIA provides a complete line of architectural services for large or small scale construction projects and is recognized for reliable technical expertise and design excellence. Our qualified team of professional architects, engineers and administrative professionals has successfully managed a diverse range of residential and commercial building projects in the St. Petersburg region with outstanding results.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/6e9608cc-b649-439c-983c-a7dfce7d2e12,BlackCat,NA,NA,"290 GB data has been downloaded from company file servers, including:  - Internal Company Data (Employees personal data, CV's, DL's, ID's, SSN's, Financial reports, Accounting data, Loans data, Insurance, Agreements, COnstruction Drawings and much more); - Clients documentation (DL's, ID's, SSN's, technical documentstion, Drawings and Plans, Agreements and much more); - Complete network map including credentials for local and remote services; - And more…",24/08/54535 19:28:49
Holland CPA,https://www.hollandcpa.cc/,unknown,04/06/54530,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a6e2a95e-7de9-4ba6-8b98-fe7a33294c68,BlackCat,NA,NA,ENJOY!!!,04/06/54530 13:27:46
HANDLER Bau GmbH,https://handler-group.com/,unknown,09/12/54520,NA,"Address: Walter Handler-Straße 1, 2853 Leitenviertel, Austria",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/cfca9ca0-4630-4749-b8c7-d43d7c2bbff5,BlackCat,NA,NA,"Want some passports from some CEOs? its free !   We breached their network, they contacted, we told them which files we got, they refused to cooperate.  Here we are dumping a first part.  20% of passports and some finance, legal and information from their employees/customers/CEOs.  You can use clearnet link for faster download!  Part1:  https://anonfiles.com/Sfo4U3z7y8/dump1_zip  Enjoy!",09/12/54520 12:18:42
OGLETREE,http://ogletreecorp.com/,unknown,31/12/54519,NA,"For over 60 years Ogletree's, Inc has specialized in metal and equipment fabrication spanning a multitude of industries. Our diversity and experience is a testament to our quality, service and ability to take on any project that you might have. Ogletree's provides superior quality and workmanship with the ability to work with carbon steel, stainless steel, aluminum and bronze. Our commitment to our clients is to form a partnership on every project, regardless of the size. Innovation, teamwork and customer service are qualities that are synonymous with the Ogletree's name.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/a2b0361f-cfb1-4cbf-aa93-a7a26a940345,BlackCat,NA,NA,"All important information in the amount of 175gb was stolen. Because of their misunderstanding and inability to negotiate, we share information with you. You should not work with them, their structure is also not protected, and the vulnerability has not been fixed. Companies that will be subject to attacks related to them should sue  ",31/12/54519 03:53:25
Continental Management,https://continentalmgt.com/,unknown,14/08/54518,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/5f75bc9c-2788-4526-b4c7-d7e7f68bb04c,BlackCat,NA,NA,ENJOY!!!,14/08/54518 01:52:47
Reed Pope Law,https://www.reedpope.ca/,unknown,12/05/54518,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/37995170-3476-4e19-853c-ef4ebba45dce,BlackCat,NA,NA,ENJOY!!!,12/05/54518 00:34:07
KKJM Lawfirm,https://kkjmlawfirm.com/,unknown,28/10/54513,NA,ALL DATA AVAILABLE FOR DOWNLOADING!!!,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/fb21a6e3-4ac8-4f0e-9488-e04836745262,BlackCat,NA,NA,ENJOY!!!,28/10/54513 10:21:28
Unisuper S.A.,https://supermercadoslatorre.com,unknown,19/02/54504,NA,"Supermarket operator in Guatemala, under the concepts La Torre Econo super. Company with aggressive growth plans and with a national presence.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/8552c2a9-1201-40b3-9331-a9ea514b00ce,BlackCat,NA,NA,Hello Unisuper. We can guarantee you that no one file will not be published after your payment.,19/02/54504 13:22:26
"Duda Farm Fresh Foods  A. Duda & Sons , Inc.  Duda  A. Duda & Sons  Duda Farm Fresh Foods Inc",www.duda.com,unknown,11/02/54504,NA,"Founded in 1926, A. Duda & Sons, Inc. grows, ships, and markets produce and sod. Their headquarters is located in Oviedo, Florida.....",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/cdeba5c8-058c-4c4d-8996-e0b5130947d1,BlackCat,NA,NA,"All files are now available!!!!  This is the first, very small part of the company's financial files. We will lay out the entire accounting of the parent company and all subsidiaries, for the entire time of their existence And then we will post personal data and all the secrets of the DUDA family As well as the personal data of all their employees (more than 16 thousand !!), including: SSN\DOB\INSURANCE and etc. And of course PERSONAL data of ALL their partners) ",11/02/54504 22:21:16
duda.com,NA,NA,22/09/54500,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/981a960a-fe30-48cd-8e65-2e26e630ce21,BlackCat,NA,NA,NA,22/09/54500 12:58:57
Hydraelectric,https://hydraelectric.com,unknown,21/01/54495,NA,"Since 1948, the aerospace industry has relied on Hydra-Electric to design and manufacture sensors and switches that are critical to aircraft systems because of our focus on innovation, quality, accuracy and reliability.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/ae57c89b-69f7-4d96-8817-4faa1b2fd05d,BlackCat,NA,NA,data,21/01/54495 16:20:12
Bandai Namco,https://bandainamcoent.com,unknown,15/01/54495,NA,"Bandai Namco Entertainment Inc. is a Japanese multinational video game publisher headquartered in Minato-ku, Tokyo. Its international branches, Bandai Namco Entertainment America and Bandai Namco Entertainment Europe, are respectively headquartered in Irvine, California and Lyon, France.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/dc1af26e-5b03-4ede-a406-456e675d239d,BlackCat,NA,NA,Data soon,15/01/54495 17:32:40
COUNT+CARE | ENTEGA.DE,https://countandcare.com,unknown,23/03/54493,NA,COUNT+CARE GmbH is an information technology and services company ,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9f5692b2-a70d-47fd-9730-19520d47fa5f,BlackCat,NA,NA,You have reached timeout in allocated time. All the data is now public.,23/03/54493 02:57:14
Chen Moore and Associates,https://www.chenmoore.com/,unknown,13/10/54489,NA,"At CMA, we best describe ourselves, our approach, and our priorities with these five words: Leadership, Excellence, Philanthropy, Community and Culture. CMA embraces the history and legacy of the firm set by Dr. Ben Chen, P.E., BCEE and is empowered by the vision set by its leadership team, led by President Peter M. Moore, P.E., F.ASCE, FACEC. The firm continues to grow by striving for excellence in design, innovation, project management, and quality.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/475efe6d-b92c-4598-b388-37de55fe3245,BlackCat,NA,NA,We successfully downloaded 250+GB of your internal data.,13/10/54489 19:39:47
Podhurst Orseck,https://www.podhurst.com/,unknown,23/08/54485,NA,"Podhurst Orseck was founded in 1967 by determined young lawyers Aaron Podhurst and Robert Orseck as a litigation and appellate law practice. Quickly recognized by fellow practitioners and jurists for their skillful and relentless pursuit of client justice, the firm’s trial and appellate attorneys have earned a global reputation for its tort litigation involving aviation, complex commercial and class action, white collar defense, and personal injury.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/5c51a3e8-0df2-4601-b52e-5d33adb198fe,BlackCat,NA,NA,We successfully downloaded 211+GB of your internal data.,23/08/54485 19:21:49
The Royal Commission for Riyadh City (RCRC),http://www.rcrc.gov.sa,unknown,13/06/54485,NA,"The Royal Commission for Riyadh City is responsible for the overall planning and development of the Riyadh city in the fields of urban, demographic, economic, developmental, social, cultural, environmental, transport, infrastructure, and digital infrastructure. It also provides the city's needs for public services and facilities.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c2c05acb-550e-4a18-bdfb-6ceacb966c9e,BlackCat,NA,NA,"We stole 1.3 TB of your documents,a lot of personal information,copies of passports,invoices,corporate information and ""top secret"" governments emails from outlook backup(.pst).We guarantee that if you pay us, your data won't be leaked.",13/06/54485 04:45:27
Dusit D2 Kenz Hotel Dubai,https://www.dusit.com/dusitd2-dubai/,unknown,02/05/54480,NA,"Cozy and comfortable Dubai Hotel, Choose from 237 guest rooms and suites at dusitD2 kenz and find high-quality comfort and modern design combined. Each stylish space offers fittings and features to suit business and leisure travellers. Hope the business will continue well with clear reputation after good cooperation with us. ",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/dd320238-d6ca-496e-a817-50597d12b5d1,BlackCat,NA,NA,"As-salamu alaykum dear owners of this gorgeous hotel. We are looking forward to cooperate with you to avoid huge data breach and great reputational loss of your business. We have stolen all your sensitive data from your servers and storages. Our business is built on your infosec mistakes. We propose you a good deal and if you accept it we will make everything to solve this problem smooth and clean. We guarantee that if you pay us, your data won't be leaked.   UPD 10.07.22  We are not glad to greet Shah Sheikh - cybersecurity boy graduated from King's College London and now ruining other's businesses. His tactics to threaten us failed and ONLY BY HIS FAULT, we are leaking part of data today.   His photo is attached, his twitter is: https://twitter.com/shah_sheikh   Dear hotel managers and owners, if you'd like to save your data from leaking and selling, join the conversation with us, don't hire arrogant children to talk to us.   UPD.  Due to ignorance of hotel management, we decided to leak more data.   Join the negotiation as soon as possible to prevent full leakage.   UPD.  Sensitive data is leaked.",02/05/54480 23:11:50
adlerdisplay.com | Adler Display,NA,NA,01/01/54468,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/9776bd71-5114-4b92-bef8-21b8f2586548,BlackCat,NA,NA,NA,01/01/54468 03:23:37
HANSA KONTAKT,http://www.hansa-kontakt.hu/,unknown,07/02/54453,NA,"A CBA mindennapi sikeres működését hazai regionális központok biztosítják. A régiók feladata: nagykereskedelmi raktárt üzemeltessenek és területükön gondoskodjanak a hálózat üzletszámának gyarapításáról, azok koordinálásáról információval történő ellátásával. A Hansa-Kontakt Kft. ezen regionális központok közül az egyik. A területünkhöz kapcsolódó CBA boltok kiszolgálása mellett lehetőséget kínálunk a CBA Üzletlánchoz való csatlakozáshoz is.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/d90d3136-93aa-41aa-baba-023b74ebeb4a,BlackCat,NA,NA,All the data is now public,07/02/54453 15:02:57
nutis.com,nutis.com,unknown,21/11/54446,NA,"Nutis provides full-service print, point-of-purchase, and visual merchandising solutions.  We have 2.5TB of confidential company data. Company financial reports, projects, customer and employee information, and much more.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/d07ed00b-aee2-4e18-a5e2-bfa234b93422,BlackCat,NA,NA,"Nutis provides full-service print, point-of-purchase, and visual merchandising solutions.  We have 2.5TB of confidential company data. Company financial reports, projects, customer and employee information, and much more.",21/11/54446 00:30:52
Matco Electric,https://matcoelectric.com,unknown,03/06/54433,NA,"Matco Electric Corporation is an electrical technologies firm that has served the needs of its customers for over 50 years. Matco’s only geographical limitations are those of its customers.  As a growing company, our personal touch and team approach remain a top priority. We believe that our personal service is largely responsible for our average sales volume of $53 million for the last ten years",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/d7c75cd9-98df-4921-9fe6-843d0c6dc5ce,BlackCat,NA,NA,We will soon start publishing data if you do not get in touch.,03/06/54433 03:22:36
Plainedge Public Schools,https://www.plainedgeschools.org/,unknown,02/08/54421,NA,"Plainedge School District is a school district. It consists of elementary school, middle school, and high school. The school headquartered in Massapequa, New York.Revenue: $84 Million",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/05702872-9977-4458-a0d6-c5251587a36c,BlackCat,NA,NA,Data leakage initiated:   First sample: https://send.exploit.in/download/e1cbfcc27f67fee2/#xKlQYim2uUcl4dNZxORJtg  Second sample: http://o522tg3wwqzypsc5yosrhr7mji5as45p2srrzvwd762h5sparfw3j2id.onion  http://a426mrvuhsmrrwl7mrsbgdbbktccondns6f63jhk2hkr3wx5dbxqrfyd.onion  http://abi5ghtmquwrl2zlbiuwzx5xb6nrsr5ejz6l7okgxw42rzvlfvbuskyd.onion,02/08/54421 04:29:38
theallison.com,theallison.com,unknown,26/03/54421,NA,1500 ++ SSN of employees as well as customer data and all accounting 112GB  DATA:http://vqifktlreqpudvulhbzmc5gocbeawl67uvs2pttswemdorbnhaddohyd.onion/data Site with SSN DOB EMAIL  https://theallison.xyz,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/fd282783-2844-47ea-ac1d-04b56e9421ab,BlackCat,NA,NA,1500 ++ SSN of employees as well as customer data and all accounting 112GB  DATA:http://vqifktlreqpudvulhbzmc5gocbeawl67uvs2pttswemdorbnhaddohyd.onion/data Site with SSN DOB EMAIL  https://theallison.xyz,26/03/54421 13:40:18
The University of Pisa,http://unipi.xyz/,unknown,18/11/54413,NA,"The University of Pisa offers the greatest number of Summer and Winter Schools in all of Italy, with 32 courses offered in all subject areas, a record that has allowed it to be included amongst the ""Study Abroad"" destinations.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2ce4c09c-9008-4a56-afb8-b9df790edccf,BlackCat,NA,NA,"We have 10k license plate - phone - pass - member name - CodiceFiscale - student\teacher data. When we put this data out into our blog, some people may have difficulty in life. Also, don't forget that your network is sound asleep. As well as 54 gb of data     UPD:  We wonder what 10,000 students and teachers should do about your negligence for their data to be leaked online in 3 days? The games is over! The next update is the release of personal data to the public.   UPD:  If you don't contact us within 3 days and payment is not made - within that time frame, we will post all student and employee data on our blog. And then expect a $20 million fine under GDPR.   UPD: Time's running out.   UPD:  University of Pisa. We spoke yesterday with your rector, Masimo Aguela. He made it clear to us that today (6/22/22) negotiations will start between us and the university. But alas, no progress today. We can see that the students are concerned about the incident and we don't want to hurt them. That's why we are not posting the data on our blog yet, because it might hurt them. Which is not to say about the teachers. We are giving this situation one last chance for a constructive resolution. Friday, 6/24/22, 11 p.m. is the deadline. If the university does not contact us, we will post on our blog all the data on students and faculty, as well as the rest of the documents that we have obtained. Have a good days, Mr. Masimo Aguela. And good days, University of Pisa.  UPD: First part. Enjoy  UPD: student data. Enjoy  http://unipi.xyz/",18/11/54413 17:36:18
vanderpol's,https://www.vanderpolseggs.com/,unknown,10/04/54413,NA,"EggSolutions Vanderpol's is a family owned and operated egg processor dedicated to the development and delivery of innovative, functional egg solutions.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7347ab6d-7173-456d-bc4e-31547a14d49b,BlackCat,NA,NA,"We downloaded around 350GB of information from your servers.  keywords: Finance, HR, agreement, mysql base",10/04/54413 17:01:35
Purvis Industries,https://purvisindustries.com,unknown,13/01/54395,NA,"purvisPurvis Industries is organized into 12 business units that cover a complete industrial product offering. This structure allows individual teams within our organization to focus on specific products and services, becoming experts in their respective fields.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/bbe91466-764f-465f-8f82-3e8db768284c,BlackCat,NA,NA,FIRST PACK IS ATTACHED,13/01/54395 04:03:46
eivp-paris.fr,https://eivp-paris.fr,unknown,08/10/54389,NA,"Founded in 1959, the Ecole Supérieure d'Engineering de la Cité de Paris is the only engineering school specializing in urban engineering. EIVP is the highest public school under the patronage of the Paris City Hall.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/4df434f4-eb24-4b21-ba11-0a3e071f4a8c,BlackCat,NA,NA,"We have hacked corporate network of EIVP and downloaded more then 30 GB of sensitive data, including: - Employee data (SSN, DL, CC) - Student data - Financial documents - GDPR protected data - And more...  All available data will be published in case of non payment. We have attached few samples of stolen data to this post.",08/10/54389 16:30:41
Alexandria. (LA),https://www.cityofalexandriala.com/ ,unknown,29/12/54388,NA,Sweet City of Alexandria.  UPD: 06/03/22   UPD: for https://www.kalb.com/   UPD: 06/04/22   UPD: 06/06/22   UPD: 06/14/22,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/6ed4d62e-97e3-4a14-9df8-1f46e0665237,BlackCat,NA,NA,"John Bel Edwards. This is an appeal to you. 2019 has taught you nothing. But this time you can't get away. Your servers are lying down again and the network is tightly closed and unavailable. We got more than 80 gb in compressed form of important data city. Don't make past mistakes and do the right thing. This time you won't get away with it. Time. Best regards.   UPD: Dear, Channel 5 News KALB. This is for you. Further data leakage will be on your conscience. Your tongue is your enemy. Nothing personal, just business. Best regards. 1 word = 1 mistake = 1 file. Enjoy   UPD: Dear Alexandria. What you are doing is wrong. You should have contacted us instead of wasting your time with those around you at the moment. Tomorrow we will post a file tree and you can see what you are missing. Your servers are laid up tight, this is not 2019. Also, don't forget, the longer you don't rebuild your network, the more problems you're going to have in the future. And those around you now won't be able to help you. As a reminder, you have exactly 1 day left to make a decision. Best regards. J_S   UPD: Alex...Alex...Alex...Are you still hoping to rebuild the network without us? Ehhhhh...we feel sorry for you...We're posting the file tree so you can understand how important this data is to you. Our next update will be one word. Best Regards.   UPD: The entire data is published. Enjoy ",29/12/54388 16:44:19
AMS-Gruppe,https://www.ams-gruppe.de/en/,unknown,11/06/54383,NA,"AMS is a leasing company that cooperates with other lessors in the area of car leasing (“double-deck leasing”) in order to promote the mobility change with new leasing concepts. We advise you in questions concerning company mobility and salary conversion or motivation leasing. The contract solution we have developed for cars, bicycles, e-bikes as well as IT equipment including tablets and smartphones simplifies motivation leasing because we divide the rights and obligations of a lessee between employer and employee.",http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/3f215c2d-0568-40e0-95ef-8fa4e358310d,BlackCat,NA,NA,We release first data pack. If you will not get to the contact with us we will release all.,11/06/54383 20:11:07
