Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links
Sohnen Enterprises,https://www.sohnen.com/,NA,07/11/2022,NA,"Sohnen Enterprises was founded in Los Angeles, California in 1971 by Barry Sohnen. At the time, Sohnen provided wholesale repair services to the importers and manufacturers of consumer electronic products that were popular at the time including portable radios, tape players and stereo systems. The initial business model was very simple and straightforward. Sohnen charged its suppliers a flat fee per unit to repair their product returns. Relatively early in its history, the business changed from this “Fee For Service” arrangement to a new business model wherein Sohnen simply purchased the defective returns outright and then refurbished, repackaged and ultimately resold them to it’s growing list of dealers and distributors. In so doing, Sohnen established itself as the pioneer in the consumer product refurbishing and resale business. Over its past half century in business, Sohnen moved from its first location pictured to the right to increasingly larger spaces, which today include a total of five separate large-scale factories and warehouses measuring close to one million square feet, located in Santa Fe Springs, California and Tijuana, Mexico. Over the course of its history, Sohnen has refurbished tens of millions of units of assorted consumer electronic products and small appliances while generating billions of dollars in sales to Sohnen. Along the way, Sohnen has been fortunate to attract and retain a team of incredibly talented and dedicated employees that have enabled the business to continually provide manufacturers and retailers with a time proven method to maximize their financial recovery and quickly convert their returned products into salable inventory.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/LXu6M68E8TjtyZt4DSz8iaxKbZJGckZx,Royal,0,40 Million,100,sohnen|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sohnen/sohnen_com.tgz,0,40 Million,100,sohnen|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sohnen/sohnen_com.tgz
Sheehan Family Companies,http://www.sheehanfamilycompanies.com,NA,07/11/2022,NA,"Headquarters:35 Elder Ave, Kingston, Massachusetts, 02364, United States--pass: P@ssw0rd!pass: bfernandez",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/KAmU57IdHJ9ydzySUMgp3w2KfvCrvPwO,Royal,300Gb,$653 Million,100,https://mega.nz/file/QKNVgB6J#IczGgEzgSY4992-qp1PVHqPr7MpN1ln2z98lwd-Of50||https://mega.nz/file/QOkB1ZzR#5aTtg7ZMz0LVOG7hqoIklYQ2rSFAOM6dpXShOfbfIQI,300Gb,$653 Million,100,https://mega.nz/file/QKNVgB6J#IczGgEzgSY4992-qp1PVHqPr7MpN1ln2z98lwd-Of50||https://mega.nz/file/QOkB1ZzR#5aTtg7ZMz0LVOG7hqoIklYQ2rSFAOM6dpXShOfbfIQI
Ivaco Rolling Mills,http://ivacorm.com,NA,07/11/2022,NA,"Ivaco Rolling Mills Quality Policy, known as Q3, incorporates Management’s commitment to health, safety and environment in addition to quality. The Quality Policy provides the focus for the complete Ivaco Rolling Mills management system.At IRM, we are dedicated to improving quality in everything we do including:The reduction of the risk of accidents and health hazards to protect our employees and the surrounding environment.Pollution prevention and energy/resource conservation to protect the environment.The products and services we offer to satisfy our customers and their requirements.We strive towards continual improvement off the effectiveness of the processes within our integrated system, involving health and safety, environment and quality, while maintaining competitive cost. IRM is committed to compliance with all applicable legislation and industry standards. We are proud of our role as a good corporate citizen and endeavour to integrate our goals with those of the community.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/lssUodWMnrcdfLVmMkbTV1FLS3uzGTSl,Royal,300Gb,147 Million,100,User|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/ivacorm/User_Shares.tgz||Common|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/ivacorm/Common_Shares.tgz,300Gb,147 Million,100,User|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/ivacorm/User_Shares.tgz||Common|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/ivacorm/Common_Shares.tgz
www.maynards.com,https://www.zoominfo.com/c/maynards-industries-ltd/24117794,NA,05/11/2022,NA,"Founded in 1902, Maynards is an auction, liquidation, appraisal, and financial services provider headquartered in Livonia, Michigan17177 N Laurel Park Dr Ste 236, Livonia, Michigan, 48152, United States",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/qDkLvYGpbENDL2D95G2egPdss6dooIm9,Royal,100Gb,$19 Million,100,https://mega.nz/folder/P2JgBAZZ#p3D8lhRWEn6_CFLW_P8ZgA,100Gb,$19 Million,100,https://mega.nz/folder/P2JgBAZZ#p3D8lhRWEn6_CFLW_P8ZgA
Quantum Plastics,https://quantumplastics.com,NA,27/10/2022,NA,"Here at Quantum Plastics, we work to satisfy specific customer requests, whatever they may be.From the water-cooler at the peewee football game and the food storage containers in your refrigerator (and maybe even part of your refrigerator) to the cluster on your dashboard, we are sure you have come across a Quantum Plastics product.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/aEqzYtUaauH1Te0ulpDiqHb3WBfzYCtQ,Royal,460GB,39 Million,100,IQMS-RALEIGH|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/IQMS-RALEIGH.tgz||File03|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/File03.tgz||JUAREZ_FS1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/JUAREZ_FS1.tgz||JUAREZ-FS1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/JUAREZ-FS1.tgz||qpfile1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/qpfile1.tgz||QP|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/QP-FILE03.tgz,460GB,39 Million,100,IQMS-RALEIGH|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/IQMS-RALEIGH.tgz||File03|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/File03.tgz||JUAREZ_FS1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/JUAREZ_FS1.tgz||JUAREZ-FS1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/JUAREZ-FS1.tgz||qpfile1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/qpfile1.tgz||QP|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/qp/QP-FILE03.tgz
Fishmans,https://fishmans.ca,NA,25/10/2022,NA,"Image experts that care, clean and preserve your clothes without chemicals. Est: 1945.Over 70 years of experience in the fabricare industry. We are Calgary’s most experienced Dry Cleaners.Fishman’s is the only green garment care cleaner in Calgary who has removed all PERC, solvents and other commonly used dry cleaning chemicals to become 100% solvent free. We believe your clothes and the environment deserve our additional care, time & attention to detail.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/iR4Nl6Ul7hBVXIO3LeM9B9uuVudWFnKb,Royal,0,5 Million,0,,0,5 Million,0,
Pressco Technology,http://www.pressco.com,NA,14/10/2022,NA,Passports / Drawings / Project / Personal Docs / Finance,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/9QFB3PwNEBagld6kiREpUJ5OX83UvMsB,Royal,1.1tb,17M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/PRESSCO/Sje72jSddhj/PRESSCO.STEP1.zip,1.1tb,17M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/PRESSCO/Sje72jSddhj/PRESSCO.STEP1.zip
F.lli Veroni fu Angelo SpA,http://www.veroni.it,NA,14/10/2022,NA,Passports \ Projects \ Finance \ Contracts,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/rFIc5T0muSBh9luOAaBTrgsCYsczSzyE,Royal,153gb,26M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/VERONI/SDJ2sdD3/VERONI.STEP1.zip,153gb,26M,1,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/VERONI/SDJ2sdD3/VERONI.STEP1.zip
Panda Power Funds,http://www.pandafunds.com,NA,13/10/2022,NA,"Panda Power Funds is focused on domestic, greenfield power development; brownfield acquisition and expansion; and developing solar and other energy projects in the United States and Canada. The Fund specializes in mitigating development and construction risks. Panda will assume these risks in working with its power customers. We will also use flexible structures to meet the needs of our power customers including long-term sales contracts; joint venture partnerships; and build, own or transfer arrangements.Panda Power Funds is continually exploring investment opportunities in both conventional and renewable energy. In addition to evaluating third-party opportunities and management teams, the firm has the ability to internally source and develop, acquire, invest in, and operate large-scale, natural gas-fueled and solar generating facilities.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/p1j7ux0wLyHaGq3kjYrkjtLrmMsrEKPG,Royal,165Gb,175 Million,20,Departmental|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/panda/departmental.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/panda/Data.tgz,165Gb,175 Million,20,Departmental|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/panda/departmental.tgz||Data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/panda/Data.tgz
Whitney Oil and Gas,https://www.whitneyoilco.com,NA,13/10/2022,NA,"Address920 Memorial City Way, Suite 200, Houston, TX 77024 Phone: (832) 786-7151",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/DaiyI4Y9o0pNNIl1OHX9GMtsKY2MGIJK,Royal,1.1Tb,8 Million,100,Archive_Share|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/Archive_Share.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/accounting.tgz||Acquisitions|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/acquisitions.tgz||Legal|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/legal.tgz||Land|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/land.tgz||Phonebook|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/phonebook.tgz||Procurement|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/procurement.tgz||Home|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/home.tgz||Operations|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/operations.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/archive.tgz,1.1Tb,8 Million,100,Archive_Share|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/Archive_Share.tgz||Accounting|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/accounting.tgz||Acquisitions|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/acquisitions.tgz||Legal|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/legal.tgz||Land|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/land.tgz||Phonebook|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/phonebook.tgz||Procurement|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/procurement.tgz||Home|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/home.tgz||Operations|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/operations.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wog/archive.tgz
Royal Imaging,http://www.royalimaging.com,NA,12/10/2022,NA,"Founded in 1996, Royal Imaging is an outsourcing company that specializes in document imaging and management. The company is headquartered in Houston.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/DkQNlmhW7H8RxN99yqVF5dAuC5RBdfR5,Royal,250GB,17M,55,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/Royal_Imaging/,250GB,17M,55,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/Royal_Imaging/
Wiseyes,http://www.wiseyes.net,NA,12/10/2022,NA,Wiseyes LLC is a company that operates in the Internet industry.,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/XlWfDlfbcz1Do0UWqL2UTh9eNQHJ9wK7,Royal,200GB,5M,70,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/WISEYES/,200GB,5M,70,http://unirvhpzl6fbyvnfhomt6vnbhsdbi2axcfwbu2au4njqf2suuiiqvead.onion/WISEYES/
InfoCision Corporation,https://www.infocision.com,NA,11/10/2022,NA,"Guiding Principles – We maintain the highest quality workforce by embodying three core principles into our workplace culture. Our Commitment to Excellence highlights our uncompromising pledge to quality and distinction. Whatever It Takes reflects our willingness to go beyond the call of duty, to ensure we deliver the highest quality results. Working Smarter is our operating concept that pertains to a variety of corporate aspects – from eliminating waste to investing in technologies that enable more efficient operations.Our Mission – InfoCision’s mission is to provide direct marketing solutions that deliver our clients the highest possible return on investment (ROI). We achieve our vision of being the highest quality marketing solutions partner by helping our clients build stronger relationships with their target audience, ensuring we make and take the highest quality calls, and by creating an upbeat, positive workplace. Our philosophy has been, and always will be, to provide the highest quality services to our valued customers.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/zNR4yElavOhg4EbtgrSGj69TL00kYzz5,Royal,250Gb,308 million,100,Acc_Dep|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/Accounting_Department.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive3.tgz||Archive4|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive4.tgz||Archive5|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive5.tgz||Archive6|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive6.tgz||Archive7|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive7.tgz||Archive8|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive8.tgz||Archive9|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive9.tgz,250Gb,308 million,100,Acc_Dep|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/Accounting_Department.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive.tgz||Archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive2.tgz||Archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive3.tgz||Archive4|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive4.tgz||Archive5|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive5.tgz||Archive6|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive6.tgz||Archive7|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive7.tgz||Archive8|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive8.tgz||Archive9|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/infocision/archive9.tgz
Master Medical Equipment,https://www.mmemed.com,NA,11/10/2022,NA,"What does the MME Promise mean to you?It means you get quality medical devices with the guarantee of lower prices and fewer headaches. It means you don’t have to sacrifice your entire budget in order to secure one piece of quality equipment. It means you don’t need to worry about the reliability and functionality of our products. It means you can bypass the hustle and cost from other companies…. and what it ultimately means is a better experience which leads to a happier you.Founded in 2011, Master Medical Equipment has always focused on one mission: selling professional devices with added value & services for our customer. How can we do this? By scanning the globe to create lasting relationships with reputable manufacturers who in turn, allow us to represent their equipment. We also offer additional value that you cannot find from other companies.When it comes to our equipment—we erase your worries. Our military-trained and certified biomedical technicians restore premium equipment to like-new condition and we offer that equipment WORLDWIDE for almost half the price you can find elsewhere. We thoroughly test each unit to ensure it meets our MME Five-Point Inspection Guarantee, passes all manufacturer guidelines, and satisfies FDA safety certifications before we ship to you. This is our MME Seal of Approval, that all our equipment is backed by the MME name and reputation. Plus, we give a 30-day money back guarantee on everything except respiratory equipment, and a one-year warranty on parts and labor. Now that’s confidence!",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/n1p0VBMIZriWizZFb0hj5B7miR2DS91p,Royal,240Gb,10 Million,100,archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive1.tgz||archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive2.tgz||archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive3.tgz||archive4|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive4.tgz||archive5|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive5.tgz||mail_address|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/mail_address.tar,240Gb,10 Million,100,archive1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive1.tgz||archive2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive2.tgz||archive3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive3.tgz||archive4|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive4.tgz||archive5|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/archive5.tgz||mail_address|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/mmemed/mail_address.tar
Midwest Orthopaedic Consultants,https://orthoexperts.com/,NA,10/10/2022,NA,"Midwest Orthopaedic Consultants is your one source for orthopedic care, providing comprehensive orthopedic surgery specialists in two suburban Chicago location.Midwest Orthopaedic Consultants represents the new way of delivering affordable, quality, and convenient orthopedic care. The concept of this facility is to provide one of the few self-contained orthopedic facilities in the nation, centered on assuring comfort and convenience for our patients and their families. Our experienced physicians and friendly staff provide high quality care and a comprehensive range of diagnostic, surgical and rehabilitative services to meet all your orthopedic needs. Our physicians provide both inpatient and outpatient surgical care and nonsurgical treatments such as bracing and injections. The close communication between our treatment members facilitates your quick recovery with minimal cost.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/JDNyOEyYWfKtF5dltVCOR389Fiw80VhF,Royal,25Gb,28 Million,100,midwest|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/orthoexperts/midwest.tar||MIDWEST1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/orthoexperts/MIDWEST1.tar,25Gb,28 Million,100,midwest|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/orthoexperts/midwest.tar||MIDWEST1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/orthoexperts/MIDWEST1.tar
PowerSoft Development,http://www.power-soft.com,NA,10/10/2022,NA,"PowerSoft Development Corp., Sooke, BC. 205 likes 41 were here. Integrate Software Solutions is more than just a slogan, it is how we design our software to become an integral part of your business.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/hKT61w1w1Rz9XpJ6dNSonjCDBvWgp8G2,Royal,100Gb,5 Million,100,clients|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/powersoft/clients.tar||data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/powersoft/data1.tar,100Gb,5 Million,100,clients|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/powersoft/clients.tar||data|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/powersoft/data1.tar
Sunwell Technologies,https://www.sunwell.com,NA,10/10/2022,NA,"Sunwell is the leading global provider of advanced food preservation and cooling technology to industry leaders around the world.Founded in Canada in 1978, Sunwell is the originator of slurry ice technology and continues to be the world leader in the field of slurry ice production, storage and distribution systems. For over 40 years we have continuously introduced disruptive technologies to the world and our patented technologies have brought groundbreaking changes to a range of industries, from food processing to transportation to HVAC.Our technology has been recognized as the most advanced and effective means of cooling and preservation available for a wide range of applications. We are proud of the impact that our technology offers to our clients: fresher foods, cleaner environment and energy savings. There is no challenge that we are afraid to take on and we continue to innovate and push the boundaries of technology.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/4A2kDZusaMP7mrHsr9OMugaIcyVt46d2,Royal,65Gb,7 Million,100,Natalya|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Natalya_Sep_07_2020.tar||Global|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Global.tar||Quality|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Quality.tar||Quotations|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Quotations.tgz||Finance|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Shared-Finance.tgz||SUNWELL|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/SUNWELL.tgz,65Gb,7 Million,100,Natalya|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Natalya_Sep_07_2020.tar||Global|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Global.tar||Quality|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Quality.tar||Quotations|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Quotations.tgz||Finance|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/Shared-Finance.tgz||SUNWELL|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/sunwell/SUNWELL.tgz
